,S,E,I,R,D,C,L,time
0,3826921.5,0.0,1.0,0.0,0.0,3826923.5,0.0,0
1,3826920.20000034,1.2999996603014563,0.8711340206185567,0.10309278350515465,0.025773195876288662,3826923.5,0.0,1
2,3826914.350011915,0.0,7.90886286412152,0.1929001767048011,0.04822504417620028,3826924.79999966,0.008247422680412371,2
3,3826904.0685120877,10.281499827362031,6.889679505342974,1.0082468637276385,0.2520617159319096,3826930.649988085,0.015432014136384089,3
4,3826857.8023936274,0.0,62.54947343874129,1.7185063469812416,0.4296265867453104,3826940.9314879123,0.08065974909821108,4
5,3826776.4894528496,81.31294077788564,54.488974284264316,8.16690567056282,2.041726417640705,3826987.1976063726,0.13748050775849932,5
6,3826410.620687858,0.0,494.6502334667316,13.783262939902045,3.445815734975511,3827068.5105471504,0.6533524536450256,6
7,3825767.6613964387,642.9592914206336,430.9066466797817,64.77813236946203,16.194533092365507,3827434.379312142,1.1026610351921635,7
8,3822876.8112758873,0.0,3909.2700272446996,109.13495749426639,27.283739373566597,3828077.3386035613,5.182250589556962,8
9,3817800.132807217,5076.678468670453,3405.49811651729,512.1524860761942,128.03812151904856,3830968.1887241127,8.73079659954131,9
10,3795108.280353008,0.0,30740.347396851186,859.097800113024,214.774450028256,3836044.867192783,40.97219888609554,10
11,3755478.0471745897,39630.23317841774,26778.962423030152,4028.2057791698476,1007.0514447924619,3858736.719646992,68.72782400904192,11
12,3586210.4474950912,0.0,232533.99362303002,6542.447105503258,1635.6117763758145,3898366.9528254103,322.2564623335878,12
13,3302930.4520085696,283279.99548652145,202568.27279531996,30515.023767671308,7628.755941917827,4067634.5525049088,523.3957684402607,13
14,2414711.0365702976,0.0,1361770.0051513873,40353.1666226516,10088.2916556629,4350914.54799143,2441.2019014137045,14
15,1297686.7490593072,1117024.2875109909,1186284.1797452809,180741.82694753693,45185.45673688423,5239133.963429702,3228.2533298121284,15
16,355904.3627636614,0.0,3297004.768776661,139210.69476774224,34802.67369193556,6356158.250940693,14459.346155802954,16
17,0.0,394209.5795377781,2840436.9375193096,473820.7863543299,118455.19658858248,7297940.637236338,11136.85558141938,17
