,S,E,I,R,D,C,L,time
0,2678844.75,0.0,1.0,0.0,0.0,0.0,0.0,0
1,2678838.450002352,6.2999976482408515,0.871134,0.10309280000000001,0.025773200000000003,1.0,0.07938145600000002,1
2,2678813.250250903,0.0,32.258625317184936,0.19289902381834415,0.048224755954586036,7.299997648224235,0.14853334129110402,2
3,2678610.0233769827,203.22687392049045,28.101585307060585,3.518531031917828,0.879632757979457,32.499749097041786,2.7092688945767276,3
4,2677797.3647386516,0.0,1040.3676618205866,6.414079622481377,1.6035199056203442,235.7266230173409,4.940013652159404,4
5,2671245.613547285,6551.751191366514,906.2996427124148,113.66849490901876,28.41712372725469,1048.3852613484487,87.52474107994445,5
6,2645295.5228350423,0.0,33293.31764562563,205.52761546589073,51.38190386647268,7600.136452714913,159.46812629073574,6
7,2438174.5328033166,207120.99003172535,29002.94097390444,3637.828952842845,909.4572382107112,33550.22716495767,2801.128293688991,7
8,1821593.7984109635,0.0,850609.1898334008,5314.20940450875,1328.5523511271874,240671.2171966834,5103.423976479583,8
9,0.0,2168662.6858070837,440993.90817718155,55351.324812587874,13837.831203146969,857251.9515890365,71614.5372174275,9
10,0.0,0.0,2649111.8679373227,23787.105650141573,5946.776412535393,2678845.75,77627.25862392764,10
11,0.0,0.0,2307731.417963712,296891.46562903054,74222.86640725764,2678845.75,228606.42853435347,11
12,0.0,0.0,2010343.3010564002,534801.9591548798,133700.48978871995,2678845.75,411797.50854925753,12
13,0.0,0.0,1751278.4012224663,742053.8790220272,185513.4697555068,2678845.75,571381.4868469608,13
14,0.0,0.0,1525598.1587705319,922598.0729835747,230649.51824589368,2678845.75,710400.5161973526,14
15,0.0,0.0,1329000.4264424085,1079876.2588460734,269969.06471151835,2678845.75,831504.7193114766,15
16,0.0,0.0,1157737.457488481,1216886.6340092153,304221.6585023038,2678845.75,937002.7081870958,16
17,0.0,0.0,1008544.4622917704,1336241.0301665838,334060.25754164596,2678845.75,1028905.5932282696,17
18,0.0,0.0,878577.3716140791,1440214.702708737,360053.67567718425,2678845.75,1108965.3210857275,18
19,0.0,0.0,765358.620043659,1530789.7039650728,382697.4259912682,2678845.75,1178708.0720531063,19
20,0.0,0.0,666729.9161131128,1609692.6671095097,402423.1667773774,2678845.75,1239463.3536743226,20
21,0.0,0.0,580811.0987432804,1678427.7210053757,419606.93025134393,2678845.75,1292389.3451741394,21
22,0.0,0.0,505964.2956926289,1738305.1634458972,434576.2908614743,2678845.75,1338494.9758533407,22
23,0.0,0.0,440762.70076390245,1790466.439388878,447616.6098472195,2678845.75,1378659.1583294363,23
24,0.0,0.0,383963.3745672614,1835905.9003461911,458976.4750865478,2678845.75,1413647.543266567,24
25,0.0,0.0,334483.5503402767,1875489.7597277788,468872.4399319447,2678845.75,1444127.1149903897,25
26,0.0,0.0,291379.9931421266,1909972.605486299,477493.1513715747,2678845.75,1470678.90622445,26
27,0.0,0.0,253831.01894587325,1940011.7848433012,485002.9462108253,2678845.75,1493809.0743293422,27
28,0.0,0.0,221120.83085839433,1966179.9353132844,491544.9838283211,2678845.75,1513958.550191229,28
29,0.0,0.0,192625.8738689965,1988975.900904803,497243.97522620077,2678845.75,1531511.443696698,29
30,0.0,0.0,167802.9480069944,2008834.241594405,502208.5603986012,2678845.75,1546802.3660276916,30
31,0.0,0.0,146178.85330912503,2026133.5173527002,506533.37933817506,2678845.75,1560122.8083615794,31
32,0.0,0.0,127341.3691985913,2041203.504641127,510300.87616028177,2678845.75,1571726.698573668,32
33,0.0,0.0,110931.39631544564,2054331.4829476434,513582.87073691085,2678845.75,1581835.2418696857,33
34,0.0,0.0,96636.11099785942,2065767.7112017123,516441.92780042806,2678845.75,1590641.1376253185,34
35,0.0,0.0,84183.00191800926,2075730.1984655925,518932.5496163981,2678845.75,1598312.2528185062,35
36,0.0,0.0,73334.67519284307,2084408.8598457256,521102.2149614314,2678845.75,1604994.8220812085,36
37,0.0,0.0,63884.32893944216,2091969.1368484464,522992.2842121116,2678845.75,1610816.2353733035,37
38,0.0,0.0,55651.811006332005,2098555.1511949347,524638.7877987337,2678845.75,1615887.4664200998,38
39,0.0,0.0,48480.184729190005,2104292.4522166476,526073.1130541619,2678845.75,1620305.1882068194,39
40,0.0,0.0,42232.73724387821,2109290.4102048976,527322.6025512244,2678845.75,1624153.615857771,40
41,0.0,0.0,36790.373326208595,2113644.301339033,528411.0753347583,2678845.75,1627506.1120310558,41
42,0.0,0.0,32049.3450771534,2117437.1239382774,529359.2809845693,2678845.75,1630426.5854324736,42
43,0.0,0.0,27919.274174440954,2120741.180660447,530185.2951651118,2678845.75,1632970.7091085443,43
44,0.0,0.0,24321.428988677446,2123619.456809058,530904.8642022645,2678845.75,1635186.9817429746,44
45,0.0,0.0,21187.22372062254,2126126.821023502,531531.7052558755,2678845.75,1637117.6521880964,45
46,0.0,0.0,18456.910948640794,2128311.0712410873,532077.7678102718,2678845.75,1638799.5248556372,46
47,0.0,0.0,16078.44266233325,2130213.8458701335,532553.4614675334,2678845.75,1640264.6613200027,47
48,0.0,0.0,14006.478070209014,2131871.417543833,532967.8543859583,2678845.75,1641540.9915087512,48
49,0.0,0.0,12201.519267213456,2133315.384586229,533328.8461465572,2678845.75,1642652.8461313967,49
50,0.0,0.0,10629.15828532473,2134573.2733717402,533643.3183429351,2678845.75,1643621.4204962396,50
