Time;Susceptible;Exposed;Infected;Recovered;Death;2nd Effects Cases
0;7653845;0;0;0;0;0
0,25;7653844,75;0,25;0;0;0;0
0,5;7653844,5;0,488636364;0,011363636;0;0;0
0,75;7653844,499;0,467277893;0,033201068;0,000370139;3,17316E-06;0,000314619
1;7653844,497;0,448528068;0,053350267;0,001451574;1,24442E-05;0,001233838
1,25;7653844,493;0,432141698;0,071985269;0,003189313;2,73416E-05;0,002710916
1,5;7653844,487;0,417897789;0,089263249;0,005534037;4,74426E-05;0,004703931
1,75;7653844,481;0,405597178;0,10532617;0,008441544;7,23683E-05;0,007175312
2;7653844,473;0,395060405;0,120302282;0,011872257;0,000101779;0,010091418
2,25;7653844,464;0,386125784;0,134307461;0,015790776;0,000135372;0,013422159
2,5;7653844,454;0,378647671;0,14744643;0,020165475;0,000172876;0,017140654
2,75;7653844,443;0,372494895;0,15981385;0,02496814;0,000214049;0,021222919
3;7653844,431;0,367549346;0,171495309;0,030173641;0,000258675;0,025647595
3,25;7653844,418;0,363704705;0,182568218;0,035759633;0,000306563;0,030395688
3,5;7653844,404;0,360865288;0,193102608;0,041706295;0,000357543;0,03545035
3,75;7653844,389;0,358945015;0,203161863;0,047996086;0,000411464;0,040796673
4;7653844,374;0,357866471;0,212803371;0,054613529;0,000468195;0,0464215
4,25;7653844,358;0,357560065;0,222079117;0,061545019;0,000527617;0,052313266
4,5;7653844,342;0,357963267;0,231036213;0,068778641;0,00058963;0,058461845
4,75;7653844,324;0,359019924;0,239717381;0,076304015;0,000654144;0,064858413
5;7653844,306;0,360679639;0,248161391;0,084112155;0,000721083;0,071495332
5,25;7653844,288;0,362897212;0,256403443;0,092195336;0,000790379;0,078366036
5,5;7653844,268;0,365632141;0,26447553;0,100546979;0,000861976;0,085464932
5,75;7653844,249;0,368848161;0,272406752;0,109161548;0,000935828;0,092787316
6;7653844,228;0,37251284;0,280223604;0,118034455;0,001011894;0,100329287
6,25;7653844,207;0,376597206;0,287950237;0,127161975;0,001090143;0,108087679
6,5;7653844,186;0,381075417;0,295608692;0,136541169;0,00117055;0,116059994
6,75;7653844,163;0,385924457;0,303219109;0,146169816;0,001253095;0,124244344
7;7653844,141;0,391123867;0,310799924;0,156046352;0,001337765;0,132639399
7,25;7653844,117;0,396655501;0,318368034;0,166169812;0,001424552;0,14124434
